Commentary	Ref	Literature(PubmedID)	value
sequence analysis	353	19332293	23350.0
x 	353	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	353	22006920	85500.0
1 	354	18776691	20000.0
	354	27097633	21400.0
x 	354	20075612	23000.0
parental enzyme XynA, SDS-PAGE	354	22006920	23000.0
x 	354	20075612	23253.0
sequence analysis	354	19332293	23350.0
x 	354	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	354	22006920	85500.0
1 	355	18776691	20000.0
	355	27097633	21400.0
x 	355	20075612	23000.0
parental enzyme XynA, SDS-PAGE	355	22006920	23000.0
x 	355	20075612	23253.0
sequence analysis	355	19332293	23350.0
x 	355	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	355	22006920	85500.0
1 	356	18776691	20000.0
	356	27097633	21400.0
x 	356	20075612	23000.0
parental enzyme XynA, SDS-PAGE	356	22006920	23000.0
x 	356	20075612	23253.0
sequence analysis	356	19332293	23350.0
x 	356	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	356	22006920	85500.0
x 	425	20077114	49800.0
x 	425	19655217	55000.0
x 	425	19655217	90000.0
x 	425	19655217	449000.0
x 	426	20077114	49800.0
x 	426	19655217	55000.0
x 	426	19655217	90000.0
x 	426	19655217	449000.0
SDS-PAGE	434	16404950	20600.0
SDS-PAGE	435	16404950	20600.0
SDS-PAGE	436	16404950	20600.0
SDS-PAGE	437	16404950	20600.0
	447	10974122	25000.0
zymogram analysis, three xylanases of molecular mass from isolate CR4 (82, 73, and 66 kDa)	449	18791765	66000.0-82000.0
gel filtration	464	8467959	32000.0
1 	464	8467959	42000.0
gel filtration	465	8467959	32000.0
1 	465	8467959	42000.0
SDS-PAGE	477	18251885	32000.0
x 	477	100550709	32500.0
x 	477	100550709	64960.0
SDS-PAGE	478	18251885	32000.0
x 	478	100550709	32500.0
x 	478	100550709	64960.0
SDS-PAGE	479	18251885	32000.0
x 	479	100550709	32500.0
x 	479	100550709	64960.0
SDS-PAGE	480	18251885	32000.0
x 	480	100550709	32500.0
x 	480	100550709	64960.0
SDS-PAGE	481	18251885	32000.0
x 	481	100550709	32500.0
x 	481	100550709	64960.0
xylanase A, gel filtration	487	0	13200.0
xylanase B, gel filtration	487	0	22000.0
xylanase C, gel filtration	487	0	150000.0
xylanase A, gel filtration	488	0	13200.0
xylanase B, gel filtration	488	0	22000.0
xylanase C, gel filtration	488	0	150000.0
xylanase A, gel filtration	489	0	13200.0
xylanase B, gel filtration	489	0	22000.0
xylanase C, gel filtration	489	0	150000.0
xylanase A, gel filtration	490	0	13200.0
xylanase B, gel filtration	490	0	22000.0
xylanase C, gel filtration	490	0	150000.0
xylanase A, gel filtration	491	0	13200.0
xylanase B, gel filtration	491	0	22000.0
xylanase C, gel filtration	491	0	150000.0
xylanase A, gel filtration	492	0	13200.0
xylanase B, gel filtration	492	0	22000.0
xylanase C, gel filtration	492	0	150000.0
xylanase A, gel filtration	493	0	13200.0
xylanase B, gel filtration	493	0	22000.0
xylanase C, gel filtration	493	0	150000.0
xylanase A, gel filtration	494	0	13200.0
xylanase B, gel filtration	494	0	22000.0
xylanase C, gel filtration	494	0	150000.0
SDS-PAGE	495	18379842	49000.0
x 	495	0	56000.0
SDS-PAGE	496	18379842	49000.0
x 	496	0	56000.0
SDS-PAGE	497	18379842	49000.0
x 	497	0	56000.0
SDS-PAGE	498	18379842	49000.0
x 	498	0	56000.0
SDS-PAGE	499	18379842	49000.0
x 	499	0	56000.0
x 	508	24908422	29000.0
x 	509	24908422	29000.0
x 	510	24908422	29000.0
x 	511	24908422	29000.0
mature enzyme, SDS-PAGE	513	18027102	39000.0
	513	18027102	39000.0
pre-mature enzyme, deduced from amino acid sequence	513	18027102	42930.0
mature enzyme, SDS-PAGE	514	18027102	39000.0
	514	18027102	39000.0
pre-mature enzyme, deduced from amino acid sequence	514	18027102	42930.0
1 	534	19356131	29300.0
1 	534	19356131	30000.0
fused xyn11A protein, Western blot analysis	534	19356131	43000.0
1 	535	19356131	29300.0
1 	535	19356131	30000.0
fused xyn11A protein, Western blot analysis	535	19356131	43000.0
1 	536	19356131	29300.0
1 	536	19356131	30000.0
fused xyn11A protein, Western blot analysis	536	19356131	43000.0
1 	537	19356131	29300.0
1 	537	19356131	30000.0
fused xyn11A protein, Western blot analysis	537	19356131	43000.0
1 	538	19356131	29300.0
1 	538	19356131	30000.0
fused xyn11A protein, Western blot analysis	538	19356131	43000.0
xylanase II	541	0	7000.0
xylanase I	541	0	26000.0
xylanase B, gel filtration	561	16347312	29500.0
1 	561	16347312	29900.0
xylanase A, gel filtration	561	16347312	63000.0
1 	561	16347312	65000.0
xylanase B, gel filtration	562	16347312	29500.0
1 	562	16347312	29900.0
xylanase A, gel filtration	562	16347312	63000.0
1 	562	16347312	65000.0
xylanase B, gel filtration	563	16347312	29500.0
1 	563	16347312	29900.0
xylanase A, gel filtration	563	16347312	63000.0
1 	563	16347312	65000.0
xylanase B, gel filtration	564	16347312	29500.0
1 	564	16347312	29900.0
xylanase A, gel filtration	564	16347312	63000.0
